question,ground_truth,source_url
什么是电脑壁纸？,电脑壁纸，又名桌面背景，是电脑屏幕所使用的背景图片。它可以根据大小和分辨率进行调整，目的是让电脑看起来更好看、更具个性。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度壁纸
如何在深度桌面环境中设置壁纸？,设置壁纸的具体方法可以参考《深度桌面环境帮助手册》中的“设置壁纸”章节。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度壁纸
深度影院是什么软件？,深度影院是一款为用户提供直观易用操作界面的视频播放软件。它支持丰富的快捷键操作，可以播放多种格式的本地视频文件，并能通过流媒体功能播放在线网络视频。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度影院
如何启动深度影院？,你可以通过以下方式启动深度影院：1. 点击启动器图标，在应用列表中找到并点击深度影院图标。2. 点击任务栏上已经默认固定的深度影院图标。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度影院
如何在深度影院中播放在线视频？,首先复制网络视频的网址（URL），然后在深度影院界面点击右键，选择“打开URL”，将网址粘贴进去并点击“确定”即可播放在线视频。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度影院
深度影院的迷你模式是什么，如何开启？,迷你模式是使用一个小窗口来播放视频，该窗口会默认置顶显示，方便用户在进行其他操作时同时观看视频。可以通过按 F2 键或在右键菜单中选择“迷你模式”来开启。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度影院
视频的字幕和声音不同步怎么办？,可以在字幕设置中调整“同步调整（秒）”选项，或者使用快捷键 Shift + → (字幕提前0.5秒) 和 Shift + ← (字幕延迟0.5秒) 来进行微调，直到字幕与声音同步。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度影院
如何让深度影院自动加载字幕文件？,"在字幕设置中，勾选“自动加载字幕”复选框。要使该功能生效，需要确保字幕文件（如.srt, .ass, .ssa格式）与视频文件名一致，并且存放在同一个目录下。",https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度影院
如何让深度影院记住上次播放的位置？,在深度影院的设置中，进入“基础设置”，勾选“自动从上次停止位置播放”复选框。这样，下次打开同一个视频时，就会从上次关闭时的位置继续播放。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度影院
什么是深度终端？,深度终端是深度科技开发的一款终端模拟器，它界面简洁，功能强大，支持瞬间启动关闭、雷神模式、多工作区、窗口分割以及远程文件管理等功能。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度终端
